qa_id,campaign_id,issue_type,issue_rate,affected_spend,severity_score,owner,status
CMP001-QA01,CMP001,SKU or event mapping gap,0.113,38727,21.8,Client strategy,open
CMP001-QA02,CMP001,late postback delivery,0.204,82043,43.0,Client strategy,monitoring
CMP001-QA03,CMP001,audience overlap risk,0.178,63831,45.8,Data Science,ready for fix
CMP001-QA04,CMP001,CTV to mobile attribution lag,0.127,70997,44.5,Client strategy,ready for fix
CMP001-QA05,CMP001,creative taxonomy missing,0.224,82084,32.6,Client strategy,open
CMP002-QA01,CMP002,SKU or event mapping gap,0.095,23756,20.7,Engineering,monitoring
CMP002-QA02,CMP002,late postback delivery,0.054,13607,25.3,Analytics,open
CMP002-QA03,CMP002,audience overlap risk,0.144,27468,42.2,Analytics,triaged
CMP002-QA04,CMP002,CTV to mobile attribution lag,0.096,23175,42.6,Client strategy,open
CMP002-QA05,CMP002,creative taxonomy missing,0.167,33838,43.1,Analytics,open
CMP003-QA01,CMP003,SKU or event mapping gap,0.234,80070,55.7,Client strategy,ready for fix
CMP003-QA02,CMP003,late postback delivery,0.087,41686,24.2,Data Science,open
CMP003-QA03,CMP003,audience overlap risk,0.04,13884,27.2,Data Science,triaged
CMP003-QA04,CMP003,CTV to mobile attribution lag,0.15,65467,26.6,Data Science,monitoring
CMP003-QA05,CMP003,creative taxonomy missing,0.054,22070,27.1,Analytics,ready for fix
CMP004-QA01,CMP004,SKU or event mapping gap,0.066,16502,17.4,Data Science,ready for fix
CMP004-QA02,CMP004,late postback delivery,0.176,74209,27.6,Analytics,open
CMP004-QA03,CMP004,audience overlap risk,0.053,17828,31.2,Analytics,monitoring
CMP004-QA04,CMP004,CTV to mobile attribution lag,0.037,14503,27.1,Engineering,open
CMP004-QA05,CMP004,creative taxonomy missing,0.043,14373,24.4,Analytics,open
CMP005-QA01,CMP005,SKU or event mapping gap,0.183,41623,25.3,Data Science,monitoring
CMP005-QA02,CMP005,late postback delivery,0.119,22415,40.9,Data Science,monitoring
CMP005-QA03,CMP005,audience overlap risk,0.161,28762,43.1,Engineering,triaged
CMP005-QA04,CMP005,CTV to mobile attribution lag,0.084,14516,20.8,Engineering,triaged
CMP005-QA05,CMP005,creative taxonomy missing,0.106,22466,44.5,Client strategy,open
CMP006-QA01,CMP006,SKU or event mapping gap,0.164,78689,48.5,Engineering,open
CMP006-QA02,CMP006,late postback delivery,0.15,61861,47.5,Analytics,monitoring
CMP006-QA03,CMP006,audience overlap risk,0.156,50345,41.8,Client strategy,triaged
CMP006-QA04,CMP006,CTV to mobile attribution lag,0.115,42825,26.6,Client strategy,ready for fix
CMP006-QA05,CMP006,creative taxonomy missing,0.198,109800,33.5,Client strategy,open
CMP007-QA01,CMP007,SKU or event mapping gap,0.101,27120,21.8,Client strategy,triaged
CMP007-QA02,CMP007,late postback delivery,0.157,29061,23.7,Data Science,ready for fix
CMP007-QA03,CMP007,audience overlap risk,0.164,31925,49.2,Data Science,triaged
CMP007-QA04,CMP007,CTV to mobile attribution lag,0.083,19503,40.7,Client strategy,open
CMP007-QA05,CMP007,creative taxonomy missing,0.172,33317,40.8,Analytics,monitoring
CMP008-QA01,CMP008,SKU or event mapping gap,0.11,35350,18.6,Engineering,monitoring
CMP008-QA02,CMP008,late postback delivery,0.214,71334,30.9,Engineering,triaged
CMP008-QA03,CMP008,audience overlap risk,0.126,36312,25.4,Analytics,triaged
